Accession,pvalue,log2FC,Gene,Label
O14976,0.008371968,-0.398179969,GAK,NO
O14978,0.086904799,-0.175074778,ZNF263,NO
O14979,0.816013951,0.014588215,HNRNPDL,NO
O14980,0.005394141,0.365999467,XPO1,NO
O14983,0.004724298,0.624871022,ATP2A1,NO
O15014,0.007414351,-0.433778947,ZNF609,NO
O15015-1,0.015634524,-0.515674611,ZNF646,NO
O15020,0.001133763,-0.831374832,SPTBN2,NO
O15021,0.938174077,0.01007595,MAST4,NO
O15027,0.028638384,0.159423031,SEC16A,NO
O15031,0.00167397,0.639625546,PLXNB2,NO
O15037,0.539087366,0.335533279,KHNYN,NO
O15042-2,0.011098595,-0.556070688,U2SURP,NO
O15047,0.356859561,-0.018934268,SETD1A,NO
O15049,0.003850126,-1.577834627,N4BP3,NO
O15056,0.001621441,0.770297347,SYNJ2,NO
O15066,0.006942343,0.344154527,KIF3B,NO
O15067,0.000654515,0.696020825,PFAS,NO
O15075,0.028668707,-0.621603133,DCLK1,NO
O15084,0.00396478,-0.738640941,ANKRD28,NO
O15085,0.141475033,-0.125753803,ARHGEF11,NO
O15090,0.017654254,-0.607664911,ZNF536,NO
O15091,0.008693198,-0.810570616,PRORP,NO
O15111,0.001238387,0.467994612,CHUK,NO
O15116,0.132451959,-0.163706384,LSM1,NO
O15118,0.002534515,0.582556082,NPC1,NO
O15120,0.028670385,0.245907012,AGPAT2,NO
O15121,0.065897922,0.411580306,DEGS1,NO
O15126,0.002292843,-0.256672124,SCAMP1,NO
O15127,0.126641118,0.095319504,SCAMP2,NO
O15131,0.040089018,0.518889075,KPNA5,NO
O15143,0.042755091,-0.204637704,ARPC1B,NO
O15144,0.258928176,0.069169496,ARPC2,NO
O15145,0.064189357,0.174523109,ARPC3,NO
O15156,0.00633113,-0.999095307,ZBTB7B,NO
O15160,0.002406641,0.121184635,POLR1C,NO
O15162,0.002080035,0.491573811,PLSCR1,NO
O15164,0.00108011,-1.180756608,TRIM24,NO
O15169,0.151119061,0.426694403,AXIN1,NO
O15173,0.001350086,0.431950312,PGRMC2,NO
O15182,0.63779247,-0.043729449,CETN3,NO
O15211,0.006223085,0.586274613,RGL2,NO
O15212,0.005903157,0.373166267,PFDN6,NO
O15213,0.027885132,-0.205453624,WDR46,NO
O15226,0.009664853,-0.673992563,NKRF,NO
O15228,0.008413266,0.469228743,GNPAT,NO
O15229,0.074096273,-0.311124888,KMO,NO
O15230,0.001412415,-1.000695591,LAMA5,NO
O15231,0.012143969,0.816693191,ZNF185,NO
O15234,0.030097694,0.390722983,CASC3,NO
O15235,0.013805553,-0.505382728,MRPS12,NO
O15240,0.0129012,-0.466297044,VGF,NO
O15247,0.00149303,1.171646456,CLIC2,NO
O15254,0.006948779,-1.501144835,ACOX3,NO
O15258,0.01609544,-0.322231224,RER1,NO
O15260,0.872853448,0.014178351,SURF4,NO
O15264,0.481494092,-0.07550464,MAPK13,NO
O15265,0.010839438,-0.601079573,ATXN7,NO
O15269,0.006404823,-0.658974943,SPTLC1,NO
O15270,0.006155639,-0.620581403,SPTLC2,NO
O15287,0.004741881,-0.417780937,FANCG,NO
O15294,0.005362947,-0.409222842,OGT,NO
O15297,0.001346882,-1.478527014,PPM1D,NO
O15305,0.172810128,-0.151293277,PMM2,NO
O15318,0.01289343,1.210316487,POLR3G,NO
O15327,0.322003996,0.091662414,INPP4B,NO
O15347,0.005349713,-0.803774318,HMGB3,NO
O15355,0.184763305,-0.134421237,PPM1G,NO
O15357,0.373427099,-0.074823391,INPPL1,NO
O15360,0.444189163,0.011989134,FANCA,NO
O15371,0.012886512,0.325214235,EIF3D,NO
O15379,0.02478265,-0.258017114,HDAC3,NO
O15381,0.022148891,-0.167464726,NVL,NO
O15382,0.002876873,-0.780923288,BCAT2,NO
O15392,0.069880635,0.079152408,BIRC5,NO
O15397,0.005533805,0.154647927,IPO8,NO
O15400,0.003003666,0.808704377,STX7,NO
O15431,0.015556763,-0.215083177,SLC31A1,NO
O15439,0.000462013,1.240172339,ABCC4,NO
O15440,0.147283813,-0.075625668,ABCC5,NO
O15446,0.027722256,-0.188651409,POLR1G,NO
O15460-2,0.009938355,-0.480154767,P4HA2,NO
O15484,0.012172065,0.800772133,CAPN5,NO
O15498,0.200334761,0.062443599,YKT6,NO
O15504,0.007414351,0.324246796,NUP42,NO
O15511,0.578394674,-0.026623416,ARPC5,NO
O15514,0.004998026,-0.175853593,POLR2D,NO
O15525,0.072084211,-0.260344419,MAFG,NO
O15530,0.270412409,0.081733697,PDPK1,NO
O15541,0.006551256,-0.408472134,RNF113A,NO
O15550,0.005928942,-0.381667168,KDM6A,NO
O15551,0.006551256,-2.098004103,CLDN3,NO
O43143,0.086209557,-0.071359584,DHX15,NO
O43148,0.00089395,0.80333255,RNMT,NO
O43149,0.006775535,-0.270402242,ZZEF1,NO
O43150,0.670640391,-0.045475786,ASAP2,NO
O43156,0.000906605,0.702329723,TTI1,NO
O43157,0.128914904,-0.338389602,PLXNB1,NO
O43159,0.057268089,-0.117929605,RRP8,NO
O43166,0.002057959,-0.549835497,SIPA1L1,NO
O43167,0.705486573,0.049958429,ZBTB24,NO
O43169,0.022907595,-0.584770617,CYB5B,NO
O43172-2,0.004039558,-0.435676614,PRPF4,NO
O43175,0.001252612,0.728222721,PHGDH,NO
O43181,0.204042985,-0.092892138,NDUFS4,NO
O43189,0.02763272,0.331462131,PHF1,NO
O43237,0.027085283,0.349086958,DYNC1LI2,NO
O43242,0.002197006,0.274754617,PSMD3,NO
O43251-8,0.001737754,0.715052409,RBFOX2,NO
O43252,0.012166785,0.406609475,PAPSS1,NO
O43257,0.559469737,0.04087168,ZNHIT1,NO
O43264,0.005662961,0.330065928,ZW10,NO
O43278-2,0.00154377,-1.645575828,SPINT1,NO
O43286,0.147161245,0.108985603,B4GALT5,NO
O43290,0.012172065,-0.343007135,SART1,NO
O43291,0.005290135,-2.087507138,SPINT2,NO
O43292,0.001889719,-0.518535837,GPAA1,NO
O43293,0.628688699,0.072203429,DAPK3,NO
O43299,0.123671899,-0.084009977,AP5Z1,NO
O43303,0.059368178,0.587192241,CCP110,NO
O43306,0.234221723,0.22368626,ADCY6,NO
O43314,0.605497592,0.048836264,PPIP5K2,NO
O43318-2,0.00501619,0.583537568,MAP3K7,NO
O43324,0.00076114,1.07412288,EEF1E1,NO
O43347,0.221662906,0.195315329,MSI1,NO
O43353,0.097618668,0.093030507,RIPK2,NO
O43390,0.027090096,-0.271937106,HNRNPR,NO
O43395,0.001980649,-0.516413697,PRPF3,NO
O43396,0.07121132,-0.239727319,TXNL1,NO
O43399-3,0.489047313,0.050754767,TPD52L2,NO
O43399-7,0.027532747,0.28585984,TPD52L2,NO
O43402,0.021310208,-0.485327149,EMC8,NO
O43414,0.005972504,0.226345852,ERI3,NO
O43422,0.378314444,0.058463395,THAP12,NO
O43427,0.034446774,-0.04937372,FIBP,NO
O43462,0.013079603,-0.957315555,MBTPS2,NO
O43463,0.004414414,-1.334463017,SUV39H1,NO
O43464,0.001629531,0.350568276,HTRA2,NO
O43488,0.004285035,-0.517032393,AKR7A2,NO
O43493,0.002865688,-0.635823878,TGOLN2,NO
O43505,0.954342352,-0.005470328,B4GAT1,NO
O43516,0.007835899,-1.020527831,WIPF1,NO
O43520,0.001168806,-0.869145236,ATP8B1,NO
O43521-2,0.008201542,-1.373773775,BCL2L11,NO
O43524,0.002515969,-0.896305594,FOXO3,NO
O43542,0.115229943,0.131421075,XRCC3,NO
O43567,0.033337555,-0.216719736,RNF13,NO
O43570,0.002532462,-1.58256196,CA12,NO
O43572,0.122307821,0.208943605,AKAP10,NO
O43581-3,0.025861564,-0.852100034,SYT7,NO
O43583,0.060840705,0.262194893,DENR,NO
O43592,0.352327913,0.064259043,XPOT,NO
O43598,0.012100948,-0.240502744,DNPH1,NO
O43615,0.002132182,0.461561476,TIMM44,NO
O43617,0.604529501,0.031219413,TRAPPC3,NO
O43633,0.328508552,-0.073029512,CHMP2A,NO
O43639,0.007151151,0.326827674,NCK2,NO
O43657,0.001787256,0.623894674,TSPAN6,NO
O43660,0.324235981,-0.028339835,PLRG1,NO
O43663,0.014364692,-0.118382608,PRC1,NO
O43665,0.001955752,0.924391177,RGS10,NO
O43674,0.033761779,-0.296216699,NDUFB5,NO
O43676,0.047314747,-0.335144295,NDUFB3,NO
O43677,0.866673681,-0.009534176,NDUFC1,NO
O43678,0.029274579,-0.797366359,NDUFA2,NO
O43681,0.016086316,-0.341330121,GET3,NO
O43683,0.004302871,1.077934564,BUB1,NO
O43684,0.018996147,0.178255389,BUB3,NO
O43688,0.000107831,-2.236266459,PLPP2,NO
O43707,0.00884943,0.179166069,ACTN4,NO
O43709,0.00056948,-0.554596173,BUD23,NO
O43715,0.02378397,-0.466278262,TRIAP1,NO
O43716,0.150049365,-0.099020125,GATC,NO
O43719,0.002425537,-1.034088288,HTATSF1,NO
O43734,0.222053055,-0.489502118,TRAF3IP2,NO
O43741,0.485614181,-0.037892004,PRKAB2,NO
O43747,0.01663442,-0.543553155,AP1G1,NO
O43752,0.001601626,-0.518590694,STX6,NO
O43759-2,0.006757409,1.034240223,SYNGR1,NO
O43760,0.009318697,0.137666764,SYNGR2,NO
O43766,0.602350437,-0.047753095,LIAS,NO
O43772,0.090005011,-0.144690596,SLC25A20,NO
O43776,0.005428967,0.543428107,NARS1,NO
O43791,0.021019168,0.376990702,SPOP,NO
O43805,0.018738418,0.534925996,SSNA1,NO
O43809,0.001840306,-0.226758736,NUDT21,NO
O43813,0.000734548,-1.034843613,LANCL1,NO
O43815,0.853422266,0.006845731,STRN,NO
O43818,0.053034379,0.153271018,RRP9,NO
O43819,0.025758109,-0.324880809,SCO2,NO
O43823,0.09062316,-0.104833994,AKAP8,NO
O43824,0.005041856,-0.952192688,GTPBP6,NO
O43829,0.05936205,-0.312572901,ZBTB14,NO
O43837,0.228139287,0.070670279,IDH3B,NO
O43847,0.016044142,0.443398988,NRDC,NO
O43852,0.00242822,0.981473025,CALU,NO
O43852-4,0.003054855,1.122049161,CALU,NO
O43865,0.112537665,-0.190775851,AHCYL1,NO
O43889,0.010359896,0.376419885,CREB3,NO
O43896,0.013318307,0.315104485,KIF1C,NO
O43913,0.010881618,-0.513880256,ORC5,NO
O43920,0.16365184,-0.081305921,NDUFS5,NO
O43924,0.232123128,-0.167224271,PDE6D,NO
O43929,0.550980513,0.032074513,ORC4,NO
O43934,0.078920928,-0.160716634,MFSD11,NO
O60216,0.001143337,-0.403022516,RAD21,NO
O60220,0.670640391,-0.032872638,TIMM8A,NO
O60231,0.028443931,0.139128554,DHX16,NO
O60232,0.005414341,0.568830422,ZNRD2,NO
O60239,0.00066905,-1.077708185,SH3BP5,NO
O60244,0.004601462,0.124656822,MED14,NO
O60245,0.003509426,-0.788820259,PCDH7,NO
O60256,0.048373182,0.278063011,PRPSAP2,NO
O60264,0.006217232,-0.601569911,SMARCA5,NO
O60266,0.040793332,-0.256896036,ADCY3,NO
O60287,0.007835899,-0.737905766,URB1,NO
O60292,0.002477083,0.456221234,SIPA1L3,NO
O60293,0.089973346,-0.137485508,ZFC3H1,NO
O60294,0.063199337,0.252503858,LCMT2,NO
O60306,0.100933605,-0.101350622,AQR,NO
O60313-2,0.008327795,-0.846249414,OPA1,NO
O60318,0.064791772,-0.11496985,MCM3AP,NO
O60337,0.434597561,0.088874322,MARCHF6,NO
O60341,0.002065428,-0.638367775,KDM1A,NO
O60343,0.00119909,0.696167173,TBC1D4,NO
O60353,0.000462013,-0.726844056,FZD6,NO
O60361,0.012595405,0.519044626,NME2P1,NO
O60437,0.000164748,-1.708052285,PPL,NO
O60443,0.004672228,1.549299092,GSDME,NO
O60476,0.01061553,-1.027745167,MAN1A2,NO
O60479,0.020795805,-1.440819418,DLX3,NO
O60488,7.64E-05,1.826969285,ACSL4,YES
O60493,0.007835899,0.465248414,SNX3,NO
O60502,0.107836218,0.184077915,OGA,NO
O60503,0.007104043,-0.871220393,ADCY9,NO
O60504,0.004019781,1.076271185,SORBS3,NO
O60506,0.008236218,0.25294492,SYNCRIP,NO
O60507,0.086493415,0.26131964,TPST1,NO
O60508,0.010892414,-0.623011116,CDC40,NO
O60513,0.007367005,-0.271466012,B4GALT4,NO
O60518,0.00154377,0.425975818,RANBP6,NO
O60524,0.020345429,0.100858272,NEMF,NO
O60547,0.039755669,-0.245142933,GMDS,NO
O60563,0.00503695,-0.196787902,CCNT1,NO
O60566,0.000223258,0.729255341,BUB1B,NO
O60568,0.008624543,-0.713578344,PLOD3,NO
O60583,0.0170171,0.189975747,CCNT2,NO
O60610,0.185099286,0.104501871,DIAPH1,NO
O60637,0.011080318,0.875245158,TSPAN3,NO
O60645,0.015388371,0.105496371,EXOC3,NO
O60663,0.00082186,-0.829863885,LMX1B,NO
O60664,0.000674288,0.889412825,PLIN3,NO
O60669,0.004672914,-1.254966831,SLC16A7,NO
O60671,0.827106818,0.021148669,RAD1,NO
O60673,0.009340516,-0.689789992,REV3L,NO
O60674,0.312700221,0.060419191,JAK2,NO
O60675,0.03827049,-0.239188149,MAFK,NO
O60678,0.015327949,0.406297337,PRMT3,NO
O60684,0.005920716,0.217536073,KPNA6,NO
O60701,0.861928447,-0.010679371,UGDH,NO
O60725,0.041687366,-0.164230004,ICMT,NO
O60749,0.005585043,0.488225657,SNX2,NO
O60763,0.010456985,1.292302459,USO1,NO
O60763-2,0.000836861,0.439007491,USO1,NO
O60783,0.074845829,-0.176839785,MRPS14,NO
O60784,0.032962899,0.198882051,TOM1,NO
O60812,0.189247137,0.047861529,HNRNPCL1,NO
O60814,0.000266911,-0.75304496,H2BC12,NO
O60825,0.196511638,-0.081466621,PFKFB2,NO
O60826,0.51365069,0.056889323,CCDC22,NO
O60828,0.267471521,-0.075684171,PQBP1,NO
O60830,0.058430228,0.115088503,TIMM17B,NO
O60831,0.20715257,0.101724072,PRAF2,NO
O60832,0.835348794,0.01005201,DKC1,NO
O60841,0.000394781,0.824094203,EIF5B,NO
O60869,0.001346882,0.469596365,EDF1,NO
O60870,0.001980313,0.60144652,KIN,NO
O60884,0.001378722,0.589179235,DNAJA2,NO
O60885,0.036665213,-0.277571108,BRD4,NO
O60888,0.007924381,-0.10516683,CUTA,NO
O60906,0.020704161,-0.355090075,SMPD2,NO
O60921,0.078758832,0.102840093,HUS1,NO
O60925,0.00464902,0.587585659,PFDN1,NO
O60927,0.505994279,-0.114310148,PPP1R11,NO
O60930,0.375202369,-0.059908919,RNASEH1,NO
O60934,0.003943993,0.266141948,NBN,NO
O60942,0.001885408,0.660238139,RNGTT,NO
O75027,0.060840705,-0.201250696,ABCB7,NO
O75044,0.001444857,-0.812075914,SRGAP2,NO
O75052,0.00052556,-1.338411906,NOS1AP,NO
O75054,0.002504464,-1.431221981,IGSF3,NO
O75063,0.004168432,-0.636418203,FAM20B,NO
O75064,0.024260116,0.567831867,DENND4B,NO
O75083,0.00292586,0.469633409,WDR1,NO
O75084,0.006758183,0.839235973,FZD7,NO
O75110,0.00242822,-1.034646907,ATP9A,NO
O75113,0.000492912,0.561281926,N4BP1,NO
O75116,0.013137806,0.293599563,ROCK2,NO
O75131,0.001251748,-1.204642571,CPNE3,NO
O75143,0.039870804,0.321883289,ATG13,NO
O75145,0.001289635,1.303211357,PPFIA3,NO
O75146,0.01914489,-0.32244532,HIP1R,NO
O75150,0.00268252,-0.427616467,RNF40,NO
O75151,0.004302871,-1.347846815,PHF2,NO
O75152,0.007719023,-0.64503711,ZC3H11A,NO
O75155,0.003729791,1.718371757,CAND2,NO
O75157,0.465699153,0.073633845,TSC22D2,NO
O75164,0.05106211,0.130555688,KDM4A,NO
O75165,0.000880099,0.211418408,DNAJC13,NO
O75170,0.001787256,0.502660494,PPP6R2,NO
O75175,0.194622238,0.06940162,CNOT3,NO
O75177,0.012234458,-1.254365888,SS18L1,NO
O75179,0.069510057,0.085062787,ANKRD17,NO
O75182-2,0.002077442,-0.542376955,SIN3B,NO
O75190,0.000898712,0.424075493,DNAJB6,NO
O75192,0.007057322,-0.540127664,PEX11A,NO
O75208,0.010839438,-1.337052842,COQ9,NO
O75223,0.012193803,-1.042877776,GGCT,NO
O75298,0.004875427,-0.552482367,RTN2,NO
O75306,0.085288591,-0.135103813,NDUFS2,NO
O75319,0.022276527,-0.463243516,DUSP11,NO
O75323,0.848503406,-0.011292939,NIPSNAP2,NO
O75330,0.003331675,1.267882872,HMMR,NO
O75340,0.007847067,-0.728082716,PDCD6,NO
O75347,0.486003336,0.071126028,TBCA,NO
O75348,0.291865022,0.06212521,ATP6V1G1,NO
O75351,0.003740047,0.377593543,VPS4B,NO
O75356,0.001443996,-1.086604676,ENTPD5,NO
O75362,0.001514706,-1.187261254,ZNF217,NO
O75367,0.010294113,-0.847276626,MACROH2A1,NO
O75367-2,0.834285201,-0.102446344,MACROH2A1,NO
O75368,0.011572623,-0.431766554,SH3BGRL,NO
O75369,0.030827078,0.348058381,FLNB,NO
O75369-8,0.000962943,0.744000376,FLNB,NO
O75376,0.031888012,0.167742886,NCOR1,NO
O75380,0.009428925,-0.410687277,NDUFS6,NO
O75381,0.088241861,-0.178209281,PEX14,NO
O75385,0.001187037,1.483719873,ULK1,NO
O75390,0.941538952,-0.003781788,CS,NO
O75391,0.009565935,-0.267599365,SPAG7,NO
O75394,0.164818956,0.167689138,MRPL33,NO
O75396,0.013033228,-0.464897002,SEC22B,NO
O75400,0.024893507,-0.321195445,PRPF40A,NO
O75400-3,0.05455146,0.224539297,PRPF40A,NO
O75410,0.001008009,0.865753834,TACC1,NO
O75419,0.909560716,-0.006547359,CDC45,NO
O75420,0.63992215,-0.034995903,GIGYF1,NO
O75427,0.00753537,-0.454285983,LRCH4,NO
O75431,0.641798443,-0.029274417,MTX2,NO
O75436,0.003309811,0.58387459,VPS26A,NO
O75438,0.008137482,-0.286522434,NDUFB1,NO
O75439,0.015080837,-0.523725518,PMPCB,NO
O75446,0.004179972,-1.125721402,SAP30,NO
O75448,0.175034894,-0.053857034,MED24,NO
O75449,0.009565935,0.249201793,KATNA1,NO
O75460,0.024296359,0.3590337,ERN1,NO
O75475,0.001543601,0.486368473,PSIP1,NO
O75477,0.009270859,0.308819582,ERLIN1,NO
O75487,0.00896695,-0.975021087,GPC4,NO
O75489,0.042771,-0.197959982,NDUFS3,NO
O75494-5,0.0229808,-0.433155161,SRSF10,NO
O75503,0.450963326,0.058124142,CLN5,NO
O75506,0.004773491,-1.061601218,HSBP1,NO
O75525,0.000579861,2.026364495,KHDRBS3,NO
O75528,0.004376285,-0.391225672,TADA3,NO
O75529,0.734238963,-0.025116012,TAF5L,NO
O75530,0.00670528,0.21323618,EED,NO
O75531,0.054282637,-0.223818569,BANF1,NO
O75533,0.007648728,-0.373120977,SF3B1,NO
O75534,0.018476119,-0.531317496,CSDE1,NO
O75554,0.772569172,-0.013980276,WBP4,NO
O75558,0.005034347,1.042843728,STX11,NO
O75564,0.023465756,0.322820216,JRK,NO
O75569,0.006223085,-0.335005488,PRKRA,NO
O75570,0.019625191,-0.36473835,MTRF1,NO
O75582,0.006824482,-0.469180346,RPS6KA5,NO
O75600,0.013380124,-0.467891868,GCAT,NO
O75607,0.043767735,0.08577179,NPM3,NO
O75616,0.007772737,-0.597030156,ERAL1,NO
O75629,0.013828766,-0.896161761,CREG1,NO
O75635,0.027927572,0.691793171,SERPINB7,NO
O75643,0.019909983,-0.191255278,SNRNP200,NO
O75648,0.078958375,0.088835229,TRMU,NO
O75663,0.002047832,0.656435359,TIPRL,NO
O75665,0.003830126,0.525688683,OFD1,NO
O75674-2,0.115229943,0.07632227,TOM1L1,NO
O75676,0.000924182,-0.510049618,RPS6KA4,NO
O75683,0.015594613,-0.413688969,SURF6,NO
O75688,0.032858238,0.139540088,PPM1B,NO
O75691,0.002857217,0.378878506,UTP20,NO
O75694,0.402625588,-0.027744616,NUP155,NO
O75695,0.000674288,0.658957925,RP2,NO
O75717,0.031317931,0.164918729,WDHD1,NO
O75718,0.001095292,0.652017966,CRTAP,NO
O75746,0.002650849,0.34650432,SLC25A12,NO
O75752,0.022020862,-0.484873352,B3GALNT1,NO
O75771,0.057971202,0.448121931,RAD51D,NO
O75781,0.002921975,0.900069213,PALM,NO
O75792,0.006196034,0.374235998,RNASEH2A,NO
O75794,0.00089583,0.626563448,CDC123,NO
O75808,0.022480561,0.196735813,CAPN15,NO
O75815,0.001543601,1.609631891,BCAR3,NO
O75817,0.228379544,0.054647917,POP7,NO
O75818,0.036243151,0.293168027,RPP40,NO
O75821,0.005459366,0.358915577,EIF3G,NO
O75822,0.001346882,0.644168657,EIF3J,NO
O75828,0.119143833,-0.233586498,CBR3,NO
O75843,0.013371192,0.192437283,AP1G2,NO
O75844,0.016324878,-0.32031096,ZMPSTE24,NO
O75864,0.014219497,-0.595788578,PPP1R37,NO
O75865-2,0.003910331,-2.24189855,TRAPPC6A,NO
O75874,0.007508609,-1.500982061,IDH1,NO
O75879,0.115204148,0.138162981,GATB,NO
O75882,0.018250997,-0.507099739,ATRN,NO
O75884,0.061786921,-0.457292797,RBBP9,NO
O75886,0.10034787,0.109652076,STAM2,NO
O75907,0.002892168,0.39692105,DGAT1,NO
O75909,0.012566565,-0.212139962,CCNK,NO
O75911,0.419506651,-0.154800026,DHRS3,NO
O75915,0.00826258,-1.254048461,ARL6IP5,NO
O75923,0.003390609,0.353749025,DYSF,NO
O75928,0.015252809,0.533192335,PIAS2,NO
O75934,0.020063158,-0.160611892,BCAS2,NO
O75935,0.001834022,0.480735519,DCTN3,NO
O75937,0.001093089,0.451699115,DNAJC8,NO
O75940,0.309239468,0.059939325,SMNDC1,NO
O75947,0.013538563,-1.161414826,ATP5PD,NO
O75955,0.027092993,-0.228895869,FLOT1,NO
O75962,0.001350086,0.977499657,TRIO,NO
O75964,0.014757575,-0.95467274,ATP5MG,NO
O75970,0.69046771,-0.03428009,MPDZ,NO
O75971,0.211540242,0.122206097,SNAPC5,NO
O75976,0.000348741,-0.514728533,CPD,NO
O76003,0.005304109,0.495156955,GLRX3,NO
O76021,0.006068474,-0.54576858,RSL1D1,NO
O76024,0.004078117,-0.617908015,WFS1,NO
O76027,0.001186776,-1.948249217,ANXA9,NO
O76031,0.018360273,-0.379805645,CLPX,NO
O76041,0.025277152,0.639714067,NEBL,NO
O76041-2,0.004074269,-1.83637098,NEBL,NO
O76061,0.004672914,0.624460025,STC2,NO
O76062,0.013040612,-1.804063621,TM7SF2,NO
O76071,0.003386504,0.483002219,CIAO1,NO
O76075,0.336275165,-0.155691364,DFFB,NO
O76080,0.09649887,0.303066139,ZFAND5,NO
O76082,0.000841616,-2.079435525,SLC22A5,NO
O76094,0.016076242,0.336670489,SRP72,NO
O76095,0.003193735,-0.810168907,JTB,NO
O77932,0.465813076,-0.112348618,DXO,NO
O94760,0.001951431,0.962192964,DDAH1,NO
O94761,0.003163114,0.610699503,RECQL4,NO
O94762,0.001458932,-0.454804277,RECQL5,NO
O94763,0.002246057,0.88296416,URI1,NO
O94766,0.006300607,-0.900224984,B3GAT3,NO
O94776,0.011080318,-0.255336834,MTA2,NO
O94782,0.060023222,-0.256154088,USP1,NO
O94804,0.00089583,0.720121524,STK10,NO
O94808,0.002366074,1.491152972,GFPT2,NO
O94817,0.133651325,0.092692645,ATG12,NO
O94819,0.031181029,-0.260584372,KBTBD11,NO
O94822,0.01105957,0.485848667,LTN1,NO
O94826,0.005802104,-1.058926606,TOMM70,NO
O94829,0.083014055,-0.152923955,IPO13,NO
O94830,0.935838534,-0.005695523,DDHD2,NO
O94832,0.005978645,-0.47260451,MYO1D,NO
O94842,0.003934728,-0.264279084,TOX4,NO
O94855,0.006460998,0.416700534,SEC24D,NO
O94864,0.014123184,-0.400385629,SUPT7L,NO
O94874,0.009638119,-0.610034867,UFL1,NO
O94876,0.384450814,-0.093780368,TMCC1,NO
O94886,0.246866465,0.171122045,TMEM63A,NO
O94887,0.006624991,-0.900327883,FARP2,NO
O94888,0.012370522,0.272844217,UBXN7,NO
O94898,0.194485908,-0.32564122,LRIG2,NO
O94901-9,0.324896925,-0.052914493,SUN1,NO
O94903,0.003340398,0.660644543,PLPBP,NO
O94905,0.970171891,0.002386413,ERLIN2,NO
O94906,0.009362942,-0.620276954,PRPF6,NO
O94907,0.076646081,-0.345765396,DKK1,NO
O94910,0.324276204,0.093831414,ADGRL1,NO
O94913,0.036680286,0.120906648,PCF11,NO
O94915,0.010911672,0.304645089,FRYL,NO
O94916,0.577581294,0.059397528,NFAT5,NO
O94916-4,0.053956721,0.299759963,NFAT5,NO
O94919,0.25539181,-0.081130802,ENDOD1,NO
O94925-3,0.000606329,0.718471134,GLS,NO
O94927,0.007906214,0.329066781,HAUS5,NO
O94952-1,0.014861039,-1.018581829,FBXO21,NO
O94955,0.003076231,-0.746601339,RHOBTB3,NO
O94964-2,0.062216451,0.078524056,SOGA1,NO
O94966-5,0.230143331,-0.02803409,USP19,NO
O94967,0.002865688,0.973501794,WDR47,NO
O94972,0.774357367,-0.057198385,TRIM37,NO
O94973,0.000319444,0.502675154,AP2A2,NO
O94992,0.102248841,0.099872636,HEXIM1,NO
O95025,0.000497931,1.583500728,SEMA3D,NO
O95049,0.002678022,-1.149090895,TJP3,NO
O95059,0.029026918,0.518962181,RPP14,NO
O95067,0.214855733,0.115461315,CCNB2,NO
O95071,0.014470761,-0.231709695,UBR5,NO
O95084,0.00670528,-1.494509854,PRSS23,NO
O95090,0.005748475,-0.857649471,CLN3,NO
O95104,0.208281567,0.029197703,SCAF4,NO
O95139,0.028780179,-0.345933555,NDUFB6,NO
O95149,0.002532462,1.18179964,SNUPN,NO
O95155,0.032974127,0.163068034,UBE4B,NO
O95159,0.027722256,-0.212945588,ZFPL1,NO
O95163,0.003597373,0.406132816,ELP1,NO
O95164,0.005397644,-1.336349755,UBL3,NO
O95166,0.026880803,0.195410219,GABARAP,NO
O95167,0.018302867,-0.408033871,NDUFA3,NO
O95168,0.098788337,-0.149329656,NDUFB4,NO
O95169,0.011460886,-0.31033416,NDUFB8,NO
O95182,0.016631613,-0.382316755,NDUFA7,NO
O95197,0.013063072,0.196834658,RTN3,NO
O95202,0.033337555,-0.18795465,LETM1,NO
O95210,0.009615966,-0.208859785,STBD1,NO
O95218,0.008414825,0.553436204,ZRANB2,NO
O95219,0.608453988,0.02673395,SNX4,NO
O95229,0.007919701,0.193935922,ZWINT,NO
O95232,0.006962507,-0.223426965,LUC7L3,NO
O95235,0.001135036,-0.464918288,KIF20A,NO
O95239,0.001618049,-0.272114559,KIF4A,NO
O95243,0.010464694,-0.769245638,MBD4,NO
O95248,0.004870189,0.434872888,SBF1,NO
O95251,0.017139734,-0.686326489,KAT7,NO
O95273,0.00037203,0.926845897,CCNDBP1,NO
O95274,0.000161727,-2.510156052,LYPD3,NO
O95292,0.005177431,-0.675699975,VAPB,NO
O95294-3,0.00879711,0.383083414,RASAL1,NO
O95295,0.073566143,0.110835364,SNAPIN,NO
O95297,0.003516305,0.429824743,MPZL1,NO
O95298,0.035222259,-0.350569303,NDUFC2,NO
O95299,0.020427473,-0.369575652,NDUFA10,NO
O95302,0.009664853,-0.646993254,FKBP9,NO
O95336,0.003437551,0.499943172,PGLS,NO
O95340,0.004302871,0.318246775,PAPSS2,NO
O95342,0.005684652,3.454184995,ABCB11,NO
O95347,0.795339892,-0.014045932,SMC2,NO
O95352,0.004777413,0.466210382,ATG7,NO
O95359,0.004019781,-0.306710261,TACC2,NO
O95361,0.004511371,-0.706695114,TRIM16,NO
O95365,0.06661236,-0.156115815,ZBTB7A,NO
O95372,0.003541639,0.38701991,LYPLA2,NO
O95373,0.000943017,0.85599879,IPO7,NO
O95376,0.026346167,0.27212354,ARIH2,NO
O95391,0.101689034,0.080291895,SLU7,NO
