Accession,pvalue,log2FC,Gene,Label
A0A0A0MT54,0.083397441,0.633485298,WT1,NO
A0A0A0MT58,0.000912445,-1.459805598,TCEA2,NO
A0A0A0MT83,0.007677999,-0.983314804,IVD,NO
A0A0A0MTB8,0.391137542,-0.034724631,WDR36,NO
A0A0A0MTC1,0.229565203,-0.09807546,RNF213,NO
A0A0A0MTH3,0.00026698,1.013870458,ILK,NO
A0A0A0MTH9,0.225541086,0.091078163,BTAF1,NO
A0A0A0MTI1,0.003289377,-0.869762691,DHCR24,NO
A0A0A0MTJ9,0.004696874,0.79921005,NCEH1,NO
A0A0A0MTL6,0.002141511,0.715904646,RIPOR1,NO
A0A0A0MTR2,0.00194214,0.712629681,OGFOD1,NO
A0A0A0MTS7,0.003157412,0.397866932,TTN,NO
A0A0A6YYG7,0.197647135,0.186786394,NCAPH2,NO
A0A0A6YYJ5,0.003934728,0.726037645,MACF1,NO
A0A0B4J1R2,0.001709159,-1.380583379,ACSS3,NO
A0A0B4J1W3,0.001535752,0.92463286,NAA15,NO
A0A0B4J270,0.011285662,0.319998788,IFI27L2,NO
A0A0B4J294,0.001616998,-0.65138112,TRAPPC2L,NO
A0A0B4J2A0,0.137215281,0.111790733,,NO
A0A0B4J2E5,0.117174902,-0.117858566,LOC102724159,NO
A0A0B4J2F0,0.019854504,-0.2683537,PIGBOS1,NO
A0A0C4DFL8,0.206409945,0.107925691,KDM4B,NO
A0A0C4DFM1,0.634747461,0.022230586,TM9SF4,NO
A0A0C4DFM7,0.008027591,1.444806101,TUT4,NO
A0A0C4DFP4,0.007770587,0.598210132,NGLY1,NO
A0A0C4DFT8,0.064560309,-0.287539073,JADE2,NO
A0A0C4DFX9,0.005176917,-0.330246248,NELFA,NO
A0A0C4DG33,0.001285596,-0.83681758,PEX1,NO
A0A0C4DG51,0.018034963,-0.500504735,PNPLA8,NO
A0A0C4DG89,0.024611462,0.242981833,DDX46,NO
A0A0C4DGA2,0.007712242,0.257999019,ECI2,NO
A0A0C4DGA7,0.007148144,0.888422587,ABLIM3,NO
A0A0C4DGB5,0.003003666,0.927337048,CAST,NO
A0A0C4DGB9,0.002065428,-1.139468964,PPA2,NO
A0A0C4DGC9,0.030674274,0.101063878,STK35,NO
A0A0C4DGH3,0.003856264,0.540691548,NUMBL,NO
A0A0C4DGQ8,0.013763993,-0.762578951,DHRS7B,NO
A0A0C4DGS9,0.014278015,0.379589378,CEPT1,NO
A0A0C4DGV8,0.006518302,-0.985946673,SEMA3B,NO
A0A0C4DGV9,0.030541216,0.893099395,LIG4,NO
A0A0C4DGW0,0.004219486,0.79292145,NDFIP2,NO
A0A0C4DGW2,0.009615966,0.421702627,SNX16,NO
A0A0C4DGZ1,0.057394377,0.098445769,ZC3H8,NO
A0A0C4DH01,0.45298263,-0.020329219,POLR3E,NO
A0A0D9SF54,0.007914555,-0.217243818,SPTAN1,NO
A0A0D9SFB1,0.012935,-0.255033821,DNM1,NO
A0A0D9SFB9,0.006628931,0.713466757,MELK,NO
A0A0D9SFF8,0.002989917,-0.497361094,MPP2,NO
A0A0D9SFM0,0.324495793,-0.247940067,SHPRH,NO
A0A0D9SFX7,0.008911978,0.966561867,MECP2,NO
A0A0D9SG79,0.090410584,0.395378451,UBAP1,NO
A0A0D9SGE8,0.002851564,0.36690397,PHF6,NO
A0A0G2JH37,0.005745346,-0.499526342,TAPBP,NO
A0A0G2JHC2,0.000605427,1.581788748,PPP1R18,NO
A0A0G2JIW1,0.925210864,0.004536296,HSPA1B,NO
A0A0G2JJD3,0.002580397,-0.574017957,ABHD16A,NO
A0A0G2JL52,0.008720433,-0.488452328,VARS2,NO
A0A0G2JLB3,0.003950464,-0.642331497,GBA,NO
A0A0G2JMG9,0.001619243,-1.181757294,ZNF66,NO
A0A0G2JMZ8,0.000415105,-0.687321724,OCLN,NO
A0A0G2JN29,0.038896701,-0.194725596,NOMO1,NO
A0A0G2JNY3,0.002539938,1.471899409,ARHGAP27,NO
A0A0G2JQJ7,0.925984565,0.005604183,MAPT,NO
A0A0J9YVP6,0.075208632,0.051455355,PUF60,NO
A0A0J9YW33,0.00686606,0.503365984,STX3,NO
A0A0J9YWL0,0.003914159,-1.321733532,CRYBG1,NO
A0A0J9YWM3,0.005399342,-1.224336052,SLC22A18,NO
A0A0J9YXF2,0.004777413,-0.50198118,PON2,NO
A0A0J9YYI4,0.053596307,-0.28447546,SERINC5,NO
A0A0U1RQC9,0.030401783,0.67558992,TP53,NO
A0A0U1RQJ2,0.404032753,-0.118865819,DST,NO
A0A0U1RQK7,0.007148144,0.459496684,EIF4G3,NO
A0A0U1RQY7,0.000776438,-0.450003643,CSNK1G1,NO
A0A0U1RR07,0.000519377,-1.121913221,SYTL2,NO
A0A0U1RR71,0.008987847,0.356006191,PLEKHG3,NO
A0A0U1RRE5,0.021982783,-0.321105919,NBDY,NO
A0A0U1RRH6,0.009106627,-0.379193071,PHF14,NO
A0A0U1RRK1,0.008685134,-0.392374828,MICU1,NO
A0A0U1RRL5,0.566890871,0.092985808,ELF1,NO
A0A0U1RRL7,0.000516861,1.337350488,MMP24OS,NO
A0A0U1RRL8,0.001912707,0.484570899,SPATA20,NO
A0A0U1RRM4,0.048489741,-0.085580992,PTBP1,NO
A0A140T8Y4,0.002201918,1.20994901,HLA-A,NO
A0A140T9E9,0.341030209,0.031438477,BRD2,NO
A0A140T9H5,0.009929111,1.59671365,HLA-C,NO
A0A140T9L0,0.01817938,-0.311362268,WDR46,NO
A0A140TA46,0.00462541,0.294362058,RPP21,NO
A0A140TA86,0.041752762,-0.400261874,MICOS13,NO
A0A182DWF2,0.004798034,-0.933110244,TXNRD2,NO
A0A1B0GTL5,0.000424056,1.403950848,RAB11FIP5,NO
A0A1B0GTW2,0.002346402,0.579311485,CACNA1A,NO
A0A1B0GU92,0.02822648,-0.650777505,,NO
A0A1B0GUA3,0.012986348,0.382944539,KIFBP,NO
A0A1B0GUD6,0.003484815,1.963196361,GRAMD1B,NO
A0A1B0GUI1,0.335012101,0.066044407,RALGAPA1,NO
A0A1B0GUL7,0.00205201,0.980235912,,NO
A0A1B0GUS7,0.146065499,0.151650628,UNC13B,NO
A0A1B0GVP4,0.194389431,0.229095723,LCORL,NO
A0A1B0GVU9,0.069085159,-1.7641154,QARS1,NO
A0A1B0GVW0,0.005734664,-0.518536267,ATP6AP2,NO
A0A1B0GW05,0.620850413,-0.047029562,DPY19L1,NO
A0A1B0GW41,0.026219625,-0.528359299,ING5,NO
A0A1B0GW68,0.013225252,-0.549328249,ASAH1,NO
A0A1B0GWE8,0.003314993,-1.549952042,CTSD,NO
A0A1B0GWK2,0.966211832,-0.010325196,KAZN,NO
A0A1C7CYX1,0.007075583,-0.919393961,MIDEAS,NO
A0A1P0AYU5,0.034482198,0.254726029,SFXN3,NO
A0A1W2PNP0,0.527712718,0.005479299,PIGT,NO
