Entry,Entry_name,Gene_name,Status,Accession,MCF7_1,MCF7_2,MCF7_3,Doxorubicin_1,Doxorubicin_2,Doxorubicin_3,P-value,P.adjust,log2FC
Q9H3L0,MMAD_HUMAN,MMADHC C2orf25 CL25022 HSPC161 My011,reviewed,Q9H3L0,8.233581327,7.853517482,8.611038121,9.104171543,8.548289801,8.052218029,0.425508648,0.457672616,0.057628799
Q9UBN7,HDAC6_HUMAN,HDAC6 KIAA0901 JM21,reviewed,Q9UBN7,0.815425973,0.766511565,0.718053993,0.920034237,0.800447437,0.781630765,0.272783514,0.304116755,0.121518073
P42898,MTHR_HUMAN,MTHFR,reviewed,P42898,5.232052258,4.684237342,4.72905872,4.225104963,4.045009184,4.027530161,0.034862375,0.048373182,-0.252060522
Q9H4G4,GAPR1_HUMAN,GLIPR2 C9orf19 GAPR1,reviewed,Q9H4G4,9.166403258,8.034176774,8.989699406,15.1020254,14.57608672,14.43316737,0.00047617,0.002508628,0.752116155
P62861,RS30_HUMAN,FAU,reviewed,P62861,147.5222982,156.0044598,155.3549083,141.8199116,147.4198098,165.7170914,0.877811715,0.889278883,-0.012392565
E5RI87,E5RI87_HUMAN,RNF130,unreviewed,E5RI87,3.753497769,3.300903339,3.320999718,3.452532659,3.036812031,3.075361774,0.245692439,0.276096923,-0.117374473
O43414,ERI3_HUMAN,ERI3 PINT1 PRNPIP PRNPIP1,reviewed,O43414,14.5920002,15.45411196,15.29230613,17.3716569,18.03756361,17.63074777,0.002042664,0.005972504,0.226345852
Q9UBR2,CATZ_HUMAN,CTSZ,reviewed,Q9UBR2,36.09449756,33.38067536,35.21269465,79.95001348,78.21776822,85.04426955,0.000572417,0.002806004,1.216120461
A6PVU8,A6PVU8_HUMAN,TUFT1,unreviewed,A6PVU8,0.618708423,0.572948038,0.597443361,0.548173709,0.650745435,0.537193508,0.682950636,0.706925011,-0.043373322
Q8N5I9,NOPC1_HUMAN,NOPCHAP1 C12orf45,reviewed,Q8N5I9,21.86103096,24.77355055,23.08992372,20.36577529,22.11312422,19.27075123,0.087817627,0.108409058,-0.175234815
O75449,KTNA1_HUMAN,KATNA1,reviewed,O75449,14.04944051,13.93141221,14.98937711,16.91965402,16.72079703,17.43178721,0.004362955,0.009565935,0.249201793
Q13951,PEBB_HUMAN,CBFB,reviewed,Q13951,31.04329854,30.95209831,30.5313192,38.15737813,39.56715554,37.56659572,0.003878189,0.008850898,0.317339622
Q9UBC1,IKBL1_HUMAN,NFKBIL1 IKBL,reviewed,Q9UBC1,3.639274675,3.313807574,3.713685496,3.423681411,3.293444033,3.262953158,0.194845356,0.222766584,-0.095999992
